Data,Operation,Resource_0,Resource_1,Resource_2,Resource_3,Resource_4,Resource_5,Chosen_Resource,Adress
50400874,1,30,89,27,75,58,55,2,10.0.0.5
6746003,1,80,56,2,22,88,59,2,10.0.0.5
53056561,2,9,32,0,1,3,94,3,10.0.0.6
8272365,2,6,60,87,91,57,94,1,10.0.0.4
1042099,1,71,73,58,10,98,73,2,10.0.0.5
66461414,2,34,75,9,85,60,9,5,10.0.0.8
67493787,2,37,5,47,1,14,67,3,10.0.0.6
80858231,2,76,1,59,32,78,52,1,10.0.0.4
24012961,2,13,81,29,41,24,38,5,10.0.0.8
63478889,1,8,43,42,14,75,93,0,10.0.0.3
94263534,1,14,17,98,100,76,87,0,10.0.0.3
87164085,2,17,23,34,13,3,2,5,10.0.0.8
27925248,1,91,84,85,59,13,64,4,10.0.0.7
82698954,1,66,88,56,78,100,34,2,10.0.0.5
18120225,2,99,17,50,45,45,57,1,10.0.0.4
51396246,2,87,74,76,14,33,64,3,10.0.0.6
47770477,2,30,58,4,35,56,18,5,10.0.0.8
74042529,1,62,64,49,3,13,14,4,10.0.0.7
54264829,1,70,95,5,65,8,5,2,10.0.0.5
45238991,1,37,33,20,1,86,7,2,10.0.0.5
69903640,1,71,28,10,92,1,0,4,10.0.0.7
43999180,1,33,76,32,18,29,32,4,10.0.0.7
56900105,1,96,38,9,39,12,54,2,10.0.0.5
63815126,2,23,23,15,79,16,18,5,10.0.0.8
4199638,2,95,39,38,26,80,73,3,10.0.0.6
1835172,2,81,21,72,82,48,69,1,10.0.0.4
19327190,2,87,99,2,97,24,46,5,10.0.0.8
41150023,2,53,34,68,49,31,87,1,10.0.0.4
40144944,1,14,12,24,80,52,70,0,10.0.0.3
28528280,1,42,21,92,59,37,2,4,10.0.0.7
25162742,2,0,29,79,75,30,58,1,10.0.0.4
81298809,1,80,32,40,66,84,88,2,10.0.0.5
5523488,2,8,37,75,98,9,52,1,10.0.0.4
82151706,2,45,5,3,37,69,25,1,10.0.0.4
33005807,1,22,34,7,7,7,54,2,10.0.0.5
28834481,1,22,7,18,18,71,7,2,10.0.0.5
15165040,1,30,81,21,46,44,97,2,10.0.0.5
7973011,2,12,79,98,50,77,98,3,10.0.0.6
28940678,2,0,39,1,13,89,23,3,10.0.0.6
60670822,1,14,29,19,66,80,52,0,10.0.0.3
18541725,1,55,28,64,68,49,19,4,10.0.0.7
41122536,2,93,24,83,97,66,23,5,10.0.0.8
7420995,1,53,55,70,100,28,32,4,10.0.0.7
79463632,2,62,5,29,35,37,37,1,10.0.0.4
97118983,2,51,83,96,83,42,16,5,10.0.0.8
39034162,1,79,38,100,13,47,72,4,10.0.0.7
24727890,2,77,4,96,86,99,59,1,10.0.0.4
62003274,1,61,63,69,99,91,37,0,10.0.0.3
36940044,2,16,23,46,48,10,60,1,10.0.0.4
804116,2,85,28,59,92,55,58,1,10.0.0.4
74770625,1,5,44,37,66,70,26,0,10.0.0.3
25679585,1,58,19,36,46,73,94,2,10.0.0.5
45705900,1,30,27,2,82,10,24,2,10.0.0.5
65196740,2,12,52,6,25,4,66,3,10.0.0.6
53618067,2,64,77,33,72,1,17,5,10.0.0.8
29420459,2,76,38,66,71,0,0,5,10.0.0.8
79915059,2,16,90,97,16,27,56,3,10.0.0.6
76625274,1,63,66,57,31,10,18,4,10.0.0.7
50689077,1,67,52,36,79,28,11,4,10.0.0.7
88368977,1,92,64,97,60,13,47,4,10.0.0.7
25729233,2,51,1,82,90,91,28,1,10.0.0.4
84879365,2,25,46,76,15,53,16,3,10.0.0.6
77036005,2,20,7,41,24,43,2,5,10.0.0.8
36186714,2,83,12,48,63,67,4,5,10.0.0.8
95306184,1,12,96,87,27,49,75,0,10.0.0.3
99117803,1,72,76,2,82,35,16,2,10.0.0.5
95851130,2,79,74,46,97,0,62,5,10.0.0.8
81984300,2,83,75,29,9,29,6,5,10.0.0.8
75295477,1,85,62,20,82,26,42,2,10.0.0.5
69283485,2,39,37,74,63,84,45,1,10.0.0.4
15174607,2,24,91,32,14,13,75,3,10.0.0.6
86452479,1,11,10,32,57,8,9,4,10.0.0.7
13011826,2,93,26,57,68,27,98,1,10.0.0.4
16594180,1,23,40,46,2,52,18,0,10.0.0.3
87996421,2,99,23,71,8,37,44,3,10.0.0.6
78356565,1,22,83,54,36,11,35,4,10.0.0.7
60726861,2,79,4,19,68,74,80,1,10.0.0.4
80476641,2,7,49,51,57,46,87,1,10.0.0.4
44771647,1,37,64,3,95,43,74,2,10.0.0.5
44124275,2,40,28,97,99,29,54,1,10.0.0.4
4609978,1,44,92,57,59,84,12,0,10.0.0.3
47267073,1,33,82,43,99,14,90,4,10.0.0.7
4725248,1,69,2,63,45,30,74,4,10.0.0.7
41279953,1,69,62,15,93,32,77,2,10.0.0.5
30837886,2,39,53,10,99,77,33,5,10.0.0.8
41773523,2,8,100,34,58,7,3,5,10.0.0.8
95681830,2,56,20,85,87,54,58,1,10.0.0.4
81226797,1,20,66,85,36,73,92,0,10.0.0.3
85080614,2,25,14,67,30,69,54,1,10.0.0.4
41763453,2,100,54,20,72,68,49,5,10.0.0.8
16111279,2,56,14,17,19,73,13,5,10.0.0.8
99113757,1,33,83,94,42,5,69,4,10.0.0.7
12716619,1,93,72,95,5,85,52,4,10.0.0.7
37939113,2,26,8,51,18,85,48,1,10.0.0.4
55941311,2,35,14,59,0,51,40,3,10.0.0.6
41289492,1,27,41,92,47,61,71,0,10.0.0.3
90921796,2,83,49,20,96,25,44,5,10.0.0.8
35684838,1,90,42,60,40,32,97,4,10.0.0.7
1679784,1,5,8,81,13,39,62,0,10.0.0.3
12293744,2,28,70,96,6,25,90,3,10.0.0.6
6070991,2,56,28,100,15,46,10,5,10.0.0.8
57659577,2,60,3,76,32,47,20,1,10.0.0.4
50414838,1,17,33,38,30,1,2,4,10.0.0.7
30185163,2,45,25,93,30,13,65,1,10.0.0.4
50576486,1,13,45,97,47,52,28,0,10.0.0.3
54157207,1,51,27,55,35,40,88,4,10.0.0.7
12791080,2,21,37,24,39,59,80,1,10.0.0.4
87257081,1,12,76,89,6,96,17,0,10.0.0.3
72415018,2,18,47,53,67,82,81,1,10.0.0.4
99239418,2,36,58,38,55,29,46,5,10.0.0.8
55699766,1,58,35,51,75,32,99,4,10.0.0.7
91832074,2,10,6,38,70,31,84,1,10.0.0.4
52276744,1,77,69,66,92,35,26,4,10.0.0.7
37924630,2,83,70,30,33,57,13,5,10.0.0.8
27755430,1,25,47,9,62,7,83,4,10.0.0.7
51864648,1,6,88,29,19,20,21,0,10.0.0.3
92219564,1,97,52,62,91,0,96,4,10.0.0.7
24409410,1,31,55,81,37,32,23,0,10.0.0.3
48438097,1,58,34,7,24,6,48,4,10.0.0.7
2651488,2,60,16,73,84,78,65,1,10.0.0.4
11712206,1,9,57,41,15,66,23,0,10.0.0.3
43427841,1,21,89,28,32,66,2,0,10.0.0.3
10276504,2,73,0,31,31,23,99,1,10.0.0.4
32940925,1,36,22,37,1,31,72,4,10.0.0.7
